rmcase,adult,wcat,type,GENDER,var619,var210,isscard,havecard,var620,var677,var678,var680,confirmcard,var626,var624,var627,var635,var228,var226,var659,var660,var646,month.1,whtdy.1,wchma.1,nmcrb.1,month.2,whtdy.2,wchma.2,nmcrb.2,month.3,whtdy.3,wchma.3,nmcrb.3,month.4,whtdy.4,wchma.4,nmcrb.4,month.5,whtdy.5,wchma.5,nmcrb.5,month.6,whtdy.6,wchma.6,nmcrb.6,month.7,whtdy.7,wchma.7,nmcrb.7,month.8,whtdy.8,wchma.8,nmcrb.8,month.9,whtdy.9,wchma.9,nmcrb.9,month.10,whtdy.10,wchma.10,nmcrb.10,month.11,whtdy.11,wchma.11,nmcrb.11,month.12,whtdy.12,wchma.12,nmcrb.12,month.13,whtdy.13,wchma.13,nmcrb.13,month.14,whtdy.14,wchma.14,nmcrb.14,month.15,whtdy.15,wchma.15,nmcrb.15,month.16,whtdy.16,wchma.16,nmcrb.16
1,1,2,1,2,2,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,2,2,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,2,1,2,2,2,1,1,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,2,1,2,2,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,1,1,2,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,2,2,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,2,3,32,15,1,3,32,15,4,3,32,15,4,6,32,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2,1,1,2,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,1,1,1,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,3,11,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,1,6,32,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,2,1,1,2,3,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,1,1,1,1,1,1,1,4,,,,,,,,,,,,,1,6,2,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,3,2,32,5,5,3,32,15,4,3,32,15,3,3,32,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,4,2,32,15,4,3,32,15,1,3,32,15,1,3,32,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
