rmcase,type,adult,month,whtdy,wchma,nmcrb
5,1,1,2,2,9,2
6,1,1,3,32,15,1
6,1,1,3,32,15,4
6,1,1,3,32,15,4
6,1,1,6,32,15,3
8,1,1,3,11,7,8
9,1,1,6,32,15,5
11,1,1,6,2,15,5
12,1,1,2,32,5,5
12,1,1,3,32,15,4
12,1,1,3,32,15,3
12,1,1,3,32,5,4
13,1,1,2,32,15,4
13,1,1,3,32,15,1
13,1,1,3,32,15,1
13,1,1,3,32,15,4
14,1,1,3,26,4,5
14,1,1,3,26,4,5
14,1,1,3,27,4,5
14,1,1,4,32,4,5
15,1,1,2,32,15,2
15,1,1,2,32,15,1
15,1,1,2,32,15,2
16,1,1,2,32,3,2
16,1,1,2,32,3,5
17,1,1,2,22,3,4
17,1,1,2,24,3,2
18,1,1,2,2,15,1
18,1,1,2,4,15,1
19,1,1,2,32,15,2
19,1,1,2,32,15,2
19,1,1,2,32,10,1
19,1,1,2,32,10,2
19,1,1,3,32,10,2
20,1,1,3,17,15,4
21,1,1,3,26,15,4
22,1,1,3,26,15,1
23,1,1,2,28,15,4
24,1,1,4,32,15,6
26,1,1,2,1,15,15
27,1,1,6,32,15,2
28,1,1,6,32,15,3
29,1,1,3,24,15,2
30,1,1,2,32,4,4
31,1,1,3,19,4,5
32,1,1,6,32,15,2
33,1,1,2,32,15,2
34,1,1,2,32,4,4
34,1,1,2,32,4,4
34,1,1,2,32,4,4
34,1,1,2,32,4,4
34,1,1,2,32,4,4
34,1,1,2,32,4,4
34,1,1,2,32,4,4
34,1,1,2,32,4,4
34,1,1,2,32,4,4
34,1,1,3,32,4,4
34,1,1,3,32,4,4
34,1,1,3,32,4,4
34,1,1,3,32,4,4
34,1,1,4,3,4,4
40,1,1,3,11,15,2
41,1,1,2,8,7,5
45,1,1,4,32,15,4
48,1,1,6,32,15,3
55,1,1,2,2,5,2
55,1,1,2,3,5,2
57,1,1,3,8,4,8
57,1,1,3,26,4,18
57,1,1,4,32,4,10
61,1,1,3,32,4,10
64,1,1,2,12,4,5
64,1,1,2,20,4,5
64,1,1,3,8,4,5
64,1,1,3,32,12,5
65,1,1,2,32,15,5
66,1,1,3,32,15,4
66,1,1,3,32,15,5
66,1,1,6,32,15,5
71,1,1,2,4,15,5
88,1,1,2,32,15,5
88,1,1,2,32,15,5
90,1,1,2,7,10,1
90,1,1,2,8,10,1
90,1,1,2,9,10,1
92,1,1,2,32,4,2
104,1,1,3,27,5,5
111,1,1,4,8,4,5
113,1,1,2,15,4,4
114,1,1,4,1,4,5
122,1,1,2,32,15,4
123,1,1,2,1,5,5
126,1,1,2,32,7,2
128,1,1,2,32,7,2
128,1,1,4,32,7,1
134,1,1,2,10,6,5
138,1,1,2,2,6,4
141,1,1,2,8,6,5
142,1,1,2,32,3,2
142,1,1,2,32,3,2
143,1,1,3,32,15,7
144,1,1,2,3,4,3
145,1,1,2,8,6,4
145,1,1,2,15,6,6
150,1,1,6,32,15,4
167,1,1,2,10,15,5
167,1,1,2,32,15,5
167,1,1,3,32,15,5
168,1,1,3,32,15,5
169,1,1,2,32,15,4
176,1,1,4,3,4,2
179,1,1,2,32,3,5
179,1,1,3,32,3,5
180,1,1,2,32,15,1
181,1,1,2,11,4,5
181,1,1,4,23,4,5
183,1,1,2,32,4,5
183,1,1,3,32,4,5
183,1,1,4,32,4,5
191,1,1,2,15,6,5
192,1,1,3,20,6,5
204,1,1,3,31,4,5
204,1,1,4,1,4,5
207,1,1,2,14,5,2
207,1,1,2,15,4,4
207,1,1,2,23,5,5
208,1,1,2,32,8,1
214,1,1,2,5,12,2
214,1,1,2,12,12,3
214,1,1,3,5,12,4
214,1,1,4,10,12,4
222,1,1,2,2,4,4
222,1,1,3,4,4,7
222,1,1,3,6,4,5
224,1,1,6,32,15,14
231,1,1,2,32,6,4
231,1,1,2,32,6,4
231,1,1,3,32,6,2
236,1,1,2,14,8,1
236,1,1,2,15,8,2
237,1,1,3,32,4,10
239,1,1,6,32,15,3
242,1,1,3,20,4,5
245,1,1,2,4,15,3
253,1,1,3,32,6,5
264,1,1,2,1,7,7
265,1,1,6,32,5,5
265,1,1,6,32,5,5
269,1,1,2,32,10,1
275,1,1,2,32,6,4
275,1,1,3,32,6,3
286,1,1,2,6,7,4
288,1,1,2,6,6,3
288,1,1,2,28,6,7
288,1,1,3,7,4,5
288,1,1,3,14,4,5
288,1,1,3,21,4,5
288,1,1,4,1,6,5
292,1,1,2,28,1,5
